abrevParker2017,abrevGaramszegi2019,breed,synonym,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lLeroy2015b,lONeill2013,lMichell1999,lcompendia,lpapers,lifespan,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSMD,GSMD,Great Swiss Mountain Dog,Great Swiss Mountain Dog,,,,,52.163 ,63.503 ,53.500 ,63.400 ,38.555 ,49.895 ,38.500 ,50.000 ,51.029 ,57.833 ,44.225 ,51.350 ,58.450 ,44.250 ,60.000 ,60.000 ,,,,,,,51.190 ,60.000 ,55.595 ,8.000 ,11.000 ,7.000 ,9.000 ,9.500 ,8.000 ,,,,8.750 ,,8.750 ,,,,,,,9.000 ,,,,,,,,,,,,,9.000 ,9.000 ,,,,510.000 ,,,,510.000 ,,,510.000 ,0.510 ,510.000 ,0.510 ,4.5900,,,,,,,9905.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSNZ,GSNZ,Schnauzer Giant,Schnauzer Giant,,,32.000 ,35.000 ,27.216 ,38.555 ,,,24.948 ,34.019 ,,,31.184 ,32.885 ,29.483 ,33.500 ,,,,,,,,,,,31.956 ,,31.956 ,12.000 ,15.000 ,10.000 ,12.000 ,13.500 ,11.000 ,,,,12.250 ,,12.250 ,,,,,,,,,,,,10.000 ,,,,,,,,10.000 ,10.000 ,,,,,,357.000 ,,,,,357.000 ,0.357 ,357.000 ,0.357 ,3.5700,,,,,,,8635.1401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GWHP,GWHP,German Wire Haired Pointing Dog,German Wire Haired Pointing Dog,22.680 ,31.751 ,20.000 ,32.000 ,,,,,,,,,27.216 ,,,26.000 ,,,,,,,,,,,26.608 ,,26.608 ,14.000 ,16.000 ,12.000 ,14.000 ,15.000 ,13.000 ,,,,14.000 ,,14.000 ,,,,,,9.000 ,7.300 ,,,,,9.000 ,,,,,,,,8.433 ,8.433 ,,,,,,308.000 ,,,,,308.000 ,0.308 ,308.000 ,0.308 ,2.5975,,,,,,,8736.2078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HUSK,HUSK,Siberian Husky,Siberian Husky,,,,,20.412 ,27.216 ,20.500 ,27.000 ,15.876 ,22.680 ,16.000 ,22.500 ,21.546 ,23.814 ,19.278 ,21.500 ,23.750 ,19.250 ,23.500 ,23.500 ,,,24.000 ,20.870 ,,21.770 ,21.523 ,22.535 ,22.029 ,12.000 ,14.000 ,11.000 ,14.000 ,13.000 ,12.500 ,,,,12.750 ,,12.750 ,,,,,,,5.100 ,,,,,5.000 ,,,,,,,,5.050 ,5.050 ,,,,527.000 ,,556.000 ,,527.000 ,,,541.500 ,0.542 ,541.500 ,0.542 ,2.7346,,,,,,,3878.8772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICES,ICES,Icelandic Sheepdog,Icelandic Sheepdog,,,9.000 ,14.000 ,,,,,,,,,,,,11.500 ,,,12.000 ,11.500 ,12.500 ,,,,,,11.500 ,12.000 ,11.750 ,12.000 ,14.000 ,12.000 ,,13.000 ,12.000 ,,,,12.667 ,,12.667 ,,,,,,,4.500 ,,,,,,,,,,,,,4.500 ,4.500 ,,,,284.500 ,,,,293.000 ,276.000 ,,284.500 ,0.285 ,284.500 ,0.285 ,1.2803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRIT,IRIT,Irish Terrier,Irish Terrier,,,,,,,12.000 ,,,,11.000 ,,,,,11.500 ,12.000 ,11.000 ,11.500 ,11.500 ,,,,,,,11.500 ,11.500 ,11.500 ,13.000 ,15.000 ,14.000 ,15.000 ,14.000 ,14.500 ,,,,14.250 ,,14.250 ,6.000 ,,,,,,6.300 ,,,,,,,,,,,,6.000 ,6.300 ,6.150 ,,,226.796 ,280.000 ,,,,280.000 ,,226.796 ,280.000 ,0.280 ,253.398 ,0.253 ,1.5584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ISET,ISET,Irish Red Setter,Irish Setter,,,,,,,32.000 ,,,,27.000 ,,,,,29.500 ,32.000 ,27.000 ,,,,,32.000 ,,,25.850 ,29.500 ,28.925 ,29.213 ,12.000 ,15.000 ,11.000 ,15.000 ,13.500 ,13.000 ,,,11.800 ,13.250 ,11.800 ,12.525 ,,,,,,,7.100 ,,,,,,,,,,,,,7.100 ,7.100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITGY,ITGY,Italian Sighthound,Italian Sighthound,3.175 ,6.350 ,2.300 ,7.000 ,,,,,,,,,4.763 ,,,4.650 ,,,4.000 ,4.000 ,4.000 ,,,4.763 ,,,4.706 ,4.254 ,4.480 ,14.000 ,15.000 ,13.000 ,14.000 ,14.500 ,13.500 ,,,,14.000 ,,14.000 ,3.500 ,,,,,,3.300 ,,,,,3.000 ,,,,,,,3.500 ,3.150 ,3.267 ,,,141.748 ,146.500 ,,185.000 ,,146.000 ,147.000 ,141.748 ,165.750 ,0.166 ,157.749 ,0.158 ,0.5153,,,,,,,2919.1703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWOF,IWOF,Irish Wolfhound,Irish Wolfhound,,,48.000 ,93.000 ,,,,,,,,,,,,70.500 ,,,54.500 ,54.500 ,,,54.000 ,,52.400 ,,70.500 ,53.633 ,62.067 ,6.000 ,8.000 ,6.000 ,8.000 ,7.000 ,7.000 ,,,6.200 ,7.000 ,6.200 ,6.600 ,,,,,,,6.800 ,,,,,,,,,,,,,6.800 ,6.800 ,,,,568.000 ,,,,568.000 ,,,568.000 ,0.568 ,568.000 ,0.568 ,3.8624,15.300 ,,15.300 ,49.100 ,,49.100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IWSP,IWSP,Irish Water Spaniel,Irish Water Spaniel,,,,,24.948 ,30.844 ,25.000 ,29.500 ,20.412 ,26.308 ,20.500 ,26.000 ,25.628 ,27.896 ,23.360 ,25.250 ,27.250 ,23.250 ,,,,,,,,,25.439 ,,25.439 ,12.000 ,13.000 ,12.000 ,14.000 ,12.500 ,13.000 ,,,,12.750 ,,12.750 ,,,,,,,,,,,,,,,,,7.500 ,8.000 ,,,7.750 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JACK,JACK,Jack Russell Terrier,Jack Russell Terrier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.400 ,13.600 ,,13.500 ,13.500 ,,,,,,4.670 ,4.400 ,,,,,5.000 ,3.000 ,,4.080 ,,,,,4.230 ,4.230 ,,,,,,200.000 ,,,,,200.000 ,0.200 ,200.000 ,0.200 ,0.8460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEES,KEES,German Spitz (Keeshond),German Spitz (Keeshond),15.876 ,20.412 ,25.000 ,29.500 ,,,,,,,,,18.144 ,,,27.250 ,,,19.280 ,19.280 ,,,18.000 ,15.650 ,,18.140 ,22.697 ,17.768 ,20.232 ,12.000 ,15.000 ,12.000 ,14.000 ,13.500 ,13.000 ,,,,13.250 ,,13.250 ,,,,,,,5.500 ,,,,,,,,,,,,,5.500 ,5.500 ,,,,255.000 ,,,,255.000 ,,,255.000 ,0.255 ,255.000 ,0.255 ,1.4025,,,,,,,7015.1686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELP,KELP,Australian Kelpie,Working Kelpie,12.701 ,27.216 ,,,,,,,,,,,19.958 ,,,,,,,,,,,,,,19.958 ,,19.958 ,10.000 ,15.000 ,,,12.500 ,,,,,12.500 ,,12.500 ,,,,,,,5.200 ,,,,,,,,,,,,,5.200 ,5.200 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOMO,KOMO,Komondor,Komondor,,,,,,,45.500 ,,,,36.500 ,,,,,41.000 ,45.500 ,36.500 ,,,,,,,,,41.000 ,,41.000 ,10.000 ,12.000 ,12.000 ,,11.000 ,12.000 ,,,,11.333 ,,11.333 ,,,,,,,,,,,,,,,,,9.000 ,8.000 ,,,8.500 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KUVZ,KUVZ,Kuvasz,Kuvasz,,,,,45.359 ,52.163 ,45.500 ,52.500 ,31.751 ,40.823 ,32.000 ,41.000 ,42.524 ,48.761 ,36.287 ,42.750 ,49.000 ,36.500 ,48.500 ,48.500 ,48.500 ,,,,,,42.637 ,48.500 ,45.569 ,10.000 ,12.000 ,8.000 ,12.000 ,11.000 ,10.000 ,,,,10.500 ,,10.500 ,,,,,,,,,,,,,,,,,7.000 ,8.000 ,,,7.500 ,,,,577.500 ,,,,547.000 ,608.000 ,,577.500 ,0.578 ,577.500 ,0.578 ,4.3313,,,,,,,7263.5065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAB,LAB,Labrador Retriever,Labrador Retriever,,,,,29.483 ,36.287 ,29.500 ,36.500 ,24.948 ,31.751 ,25.000 ,32.000 ,30.617 ,32.885 ,28.350 ,30.750 ,33.000 ,28.500 ,29.800 ,29.800 ,,29.800 ,30.000 ,,28.100 ,28.120 ,30.684 ,29.164 ,29.924 ,10.000 ,12.000 ,11.000 ,13.000 ,11.000 ,12.000 ,,12.500 ,12.600 ,11.500 ,12.550 ,12.200 ,,,,,,5.570 ,6.900 ,,,,,6.000 ,5.270 ,6.400 ,,,,,,6.028 ,6.028 ,,,,450.000 ,,405.500 ,396.400 ,450.000 ,,,417.300 ,0.417 ,417.300 ,0.417 ,2.5155,13.700 ,14.380 ,14.040 ,52.100 ,52.000 ,52.050 ,7237.0381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEON,LEON,Leonberger,Leonberger,,,,,49.895 ,77.111 ,59.000 ,77.000 ,40.823 ,63.503 ,45.000 ,59.000 ,57.833 ,63.503 ,52.163 ,60.000 ,68.000 ,52.000 ,68.000 ,68.000 ,,,,,,,58.916 ,68.000 ,63.458 ,7.000 ,7.000 ,8.000 ,9.000 ,7.000 ,8.500 ,8.750 ,,,7.750 ,8.750 ,8.250 ,,,6.330 ,,,,8.400 ,,,,,6.000 ,,,,,,,,6.910 ,6.910 ,,,,510.000 ,,615.000 ,,510.000 ,,,562.500 ,0.563 ,562.500 ,0.563 ,3.8869,,,,,,,10181.4187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHSA,LHSA,Lhasa Apso,Lhasa Apso,5.443 ,8.165 ,,,,,6.000 ,8.000 ,,,6.000 ,7.000 ,6.804 ,,,6.750 ,7.000 ,6.500 ,,,,,6.000 ,,,7.260 ,6.768 ,6.630 ,6.699 ,12.000 ,15.000 ,14.000 ,15.000 ,13.500 ,14.500 ,,13.000 ,9.000 ,14.000 ,11.000 ,12.000 ,,,,,,,4.900 ,,,,,,4.540 ,,,,,,,4.720 ,4.720 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LMUN,LMUN,Munsterlander Large,Munsterlander Large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.000 ,,,,,,,,,,,,,7.000 ,7.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAST,MAST,English Mastiff,Mastiff,,,79.000 ,86.000 ,72.575 ,104.326 ,,,54.431 ,77.111 ,,,77.111 ,88.450 ,65.771 ,82.500 ,,,81.650 ,81.650 ,,,82.000 ,,66.900 ,,78.907 ,76.850 ,77.879 ,6.000 ,10.000 ,8.000 ,9.000 ,8.000 ,8.500 ,,7.100 ,,8.250 ,7.100 ,7.675 ,,,,,,,6.000 ,,,,,,,,,,,,,6.000 ,6.000 ,,,,567.000 ,,,,567.000 ,164.000 ,,567.000 ,0.567 ,567.000 ,0.567 ,3.4020,10.900 ,,10.900 ,65.200 ,,65.200 ,13499.7601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBLT,MBLT,Bull Terrier Miniature,Bull Terrier Miniature,8.165 ,12.701 ,11.000 ,15.000 ,,,,,,,,,10.433 ,,,13.000 ,,,,,,,,,,,11.716 ,,11.716 ,11.000 ,13.000 ,12.000 ,13.000 ,12.000 ,12.500 ,,,,12.250 ,,12.250 ,,,,,,,,,,,,,,,,,5.000 ,5.000 ,,,5.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPIN,MPIN,Pinscher Miniature,Pinscher Miniature,3.629 ,4.536 ,4.000 ,4.500 ,,,,,,,,,4.082 ,,,4.250 ,,,,,,,,,,,4.166 ,,4.166 ,12.000 ,16.000 ,13.000 ,14.000 ,14.000 ,13.500 ,,,,13.750 ,,13.750 ,,,,,,5.500 ,4.300 ,,,,,4.000 ,,,,,,,,4.600 ,4.600 ,,,,,,145.000 ,,,,,145.000 ,0.145 ,145.000 ,0.145 ,0.6670,,,,,,,2715.3986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPOO,MPOO,Poodle miniature,Caniche miniature,4.536 ,6.804 ,,,,,7.000 ,8.000 ,,,7.000 ,8.000 ,5.670 ,,,7.500 ,7.500 ,7.500 ,,,,,7.000 ,,,6.120 ,6.890 ,6.560 ,6.725 ,10.000 ,18.000 ,12.000 ,15.000 ,14.000 ,13.500 ,,14.200 ,14.800 ,13.750 ,14.500 ,14.250 ,3.500 ,,,,,,3.000 ,,,,,2.000 ,,,,,,,3.500 ,2.500 ,2.833 ,,,226.796 ,,,116.500 ,,,,226.796 ,116.500 ,0.117 ,171.648 ,0.172 ,0.4863,,,,,,,3203.2136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSNZ,MSNZ,Schnauzer Miniature,Schnauzer Miniature,4.990 ,9.072 ,6.500 ,7.500 ,,,,,,,,,7.031 ,,,7.000 ,,,,,,,7.000 ,,7.000 ,,7.015 ,7.000 ,7.008 ,12.000 ,15.000 ,14.000 ,,13.500 ,14.000 ,,,8.500 ,13.667 ,8.500 ,11.083 ,4.000 ,,,,,,4.700 ,,,,,,,,,,,,4.000 ,4.700 ,4.350 ,,,184.272 ,,,,,,,184.272 ,,,184.272 ,0.184 ,0.8016,16.900 ,,16.900 ,41.300 ,,41.300 ,3715.3846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NELK,NELK,Norwegian Elkhound Grey,Norwegian Elkhound Grey,,,,,,,25.000 ,,,,22.000 ,,,,,23.500 ,25.000 ,22.000 ,,,,,23.000 ,,,19.500 ,23.500 ,21.250 ,22.375 ,12.000 ,15.000 ,12.000 ,13.000 ,13.500 ,12.500 ,,,,13.000 ,,13.000 ,,,,,,,5.350 ,,,,,,,,,,,,,5.350 ,5.350 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWF,NEWF,Newfoundland,Newfoundland,,,,,58.967 ,68.039 ,59.000 ,68.000 ,45.359 ,54.431 ,45.500 ,54.500 ,56.699 ,63.503 ,49.895 ,56.750 ,63.500 ,50.000 ,,,,,64.000 ,54.200 ,43.300 ,52.160 ,56.725 ,53.415 ,55.070 ,9.000 ,10.000 ,8.000 ,10.000 ,9.500 ,9.000 ,,,,9.250 ,,9.250 ,,,,,,4.330 ,6.500 ,,,,,6.000 ,,,,,,,,5.610 ,5.610 ,,,,,,600.000 ,,,,,600.000 ,0.600 ,600.000 ,0.600 ,3.3660,16.700 ,,16.700 ,46.100 ,,46.100 ,9349.8333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NORF,NORF,Norfolk Terrier,Norfolk Terrier,4.990 ,5.443 ,5.000 ,5.500 ,,,,,,,,,5.216 ,,,5.250 ,,,,,,,,6.691 ,,,5.233 ,6.691 ,5.962 ,12.000 ,16.000 ,12.000 ,15.000 ,14.000 ,13.500 ,,,10.000 ,13.750 ,10.000 ,11.875 ,3.500 ,,,,,,2.500 ,,,,,,,,,,,,3.500 ,2.500 ,3.000 ,,,141.748 ,,,,,,,141.748 ,,,141.748 ,0.142 ,0.4252,,,,,,,3580.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOWT,NOWT,Norwich Terrier,Norwich Terrier,,,5.000 ,5.500 ,5.443 ,,,,,,,,5.443 ,5.443 ,,5.250 ,,,,,,,,,,,5.314 ,,5.314 ,12.000 ,15.000 ,12.000 ,15.000 ,13.500 ,13.500 ,,,,13.500 ,,13.500 ,3.500 ,,,,,,2.600 ,,,,,,,,,,,,3.500 ,2.600 ,3.050 ,,,141.748 ,,,,,,,141.748 ,,,141.748 ,0.142 ,0.4323,,,,,,,3740.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSDT,NSDT,Nova Scotia Duck Tolling Retriever,Nova Scotia Duck Tolling Retriever,15.876 ,22.680 ,16.000 ,20.000 ,,,,,,,,,19.278 ,,,18.000 ,,,20.000 ,20.000 ,,,,,,,18.639 ,20.000 ,19.319 ,12.000 ,14.000 ,12.000 ,14.000 ,13.000 ,13.000 ,,,,13.000 ,,13.000 ,,,,,,,6.600 ,,,,,,,,,,,,,6.600 ,6.600 ,,,,470.000 ,,,,470.000 ,,,470.000 ,0.470 ,470.000 ,0.470 ,3.1020,,,,,,,4001.6298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OES,OES,Old English Sheepdog,Old English Sheepdog,27.216 ,45.359 ,,,,,29.500 ,,,,27.000 ,,36.287 ,,,28.250 ,29.500 ,27.000 ,36.280 ,36.280 ,,,29.000 ,,,29.480 ,32.269 ,31.587 ,31.928 ,10.000 ,12.000 ,10.000 ,12.000 ,11.000 ,11.000 ,,,11.800 ,11.000 ,11.800 ,11.400 ,,,,7.300 ,,,4.300 ,,,,,,,,,,,,,5.800 ,5.800 ,,,368.544 ,330.000 ,,,,330.000 ,,368.544 ,330.000 ,0.330 ,349.272 ,0.349 ,2.0258,,,,,,,10289.4346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OTTR,OTTR,Otterhound,Otterhound,,,,,,,45.500 ,52.000 ,,,34.000 ,38.500 ,,,,42.500 ,48.750 ,36.250 ,41.000 ,41.000 ,,,,,,,42.500 ,41.000 ,41.750 ,10.000 ,13.000 ,12.000 ,13.000 ,11.500 ,12.500 ,,,,12.000 ,,12.000 ,,,,,,,,,,,,,,,,,5.500 ,4.000 ,,,4.750 ,,,,631.000 ,,,,631.000 ,,,631.000 ,0.631 ,631.000 ,0.631 ,2.9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAPI,PAPI,Papillon,Phalene,2.268 ,4.536 ,1.500 ,4.500 ,,,,,,,,,3.402 ,,,3.000 ,,,4.000 ,4.500 ,3.500 ,3.000 ,,,2.200 ,,3.201 ,3.300 ,3.250 ,14.000 ,16.000 ,13.000 ,15.000 ,15.000 ,14.000 ,,,,14.500 ,,14.500 ,,,,,,,3.300 ,,,,,,,,,,,,,3.300 ,3.300 ,,,127.573 ,135.000 ,,,,150.000 ,120.000 ,127.573 ,135.000 ,0.135 ,131.286 ,0.131 ,0.4332,15.000 ,,15.000 ,41.700 ,,41.700 ,2491.2361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARS,PARS,Parson Russell Terrier (Jack Russell Terrier),Parson Russell Terrier (Jack Russell Terrier),5.897 ,7.711 ,4.000 ,7.500 ,,,,,,,,,6.804 ,,,5.750 ,,,7.000 ,7.000 ,,,,,,,6.277 ,7.000 ,6.638 ,13.000 ,15.000 ,13.000 ,15.000 ,14.000 ,14.000 ,,,,14.000 ,,14.000 ,5.000 ,,,,,,4.500 ,,,,,,,,,,,,5.000 ,4.500 ,4.750 ,,,,190.000 ,,,,190.000 ,,,190.000 ,0.190 ,190.000 ,0.190 ,0.9025,,,,,,,3480.9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PBGV,PBGV,Basset Griffon Vendeen Petit,Basset Griffon Vendeen Petit,11.340 ,18.144 ,,,,,,,,,14.000 ,18.000 ,14.742 ,,,16.000 ,,16.000 ,,,,,,,,,15.371 ,,15.371 ,14.000 ,16.000 ,12.000 ,14.000 ,15.000 ,13.000 ,,,,14.000 ,,14.000 ,,,,,,,5.100 ,,,,,,,,,,,,,5.100 ,5.100 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEMB,PEMB,Welsh Corgi Pembroke,Welsh Corgi Pembroke,,,,,,,13.500 ,,,,12.500 ,,,,,13.000 ,13.500 ,12.500 ,12.000 ,12.000 ,,,,,,11.340 ,13.000 ,11.670 ,12.335 ,12.000 ,13.000 ,12.000 ,15.000 ,12.500 ,13.500 ,,,11.300 ,13.000 ,11.300 ,12.150 ,6.500 ,,,,,,,,,,,,,,,,,,6.500 ,,6.500 ,,,354.369 ,340.000 ,,,,340.000 ,,354.369 ,340.000 ,0.340 ,347.184 ,0.347 ,2.2567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHAR,PHAR,Pharaoh Hound,Pharaoh Hound,20.412 ,24.948 ,20.000 ,25.000 ,,,,,,,,,22.680 ,,,22.500 ,,,,,,,,,,,22.590 ,,22.590 ,12.000 ,14.000 ,12.000 ,14.000 ,13.000 ,13.000 ,,,,13.000 ,,13.000 ,,,,,,,,,,,,,,,,,,7.000 ,,,7.000 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POM,POM,Pomeranian,German Spitz (Pomeranian),1.361 ,3.175 ,1.500 ,3.000 ,,,,,,,,,2.268 ,,,2.250 ,,,,,,,2.000 ,2.041 ,,2.270 ,2.259 ,2.104 ,2.181 ,12.000 ,16.000 ,15.000 ,,14.000 ,15.000 ,,,,14.333 ,,14.333 ,3.000 ,,,,,,2.400 ,,,,,,4.000 ,,,,,,3.000 ,3.200 ,3.133 ,,,113.398 ,,,,,,,113.398 ,,,113.398 ,0.113 ,0.3553,,,,,,,1900.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTWD,PTWD,Portuguese Water Dog,Cao de Agua Portugues,,,,,19.051 ,27.216 ,18.000 ,27.000 ,15.876 ,22.680 ,16.000 ,22.500 ,21.205 ,23.133 ,19.278 ,20.875 ,22.500 ,19.250 ,22.000 ,22.000 ,,,,,,,21.040 ,22.000 ,21.520 ,11.000 ,13.000 ,12.000 ,14.000 ,12.000 ,13.000 ,,,,12.500 ,,12.500 ,,,,,,,7.400 ,,,,,,,,,,,,,7.400 ,7.400 ,,,,284.000 ,,,,284.000 ,,,284.000 ,0.284 ,284.000 ,0.284 ,2.1016,,,,,,,7366.6993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUG,PUG,Pug,Pug,6.350 ,8.165 ,6.500 ,8.000 ,,,,,,,,,7.257 ,,,7.250 ,,,7.260 ,7.260 ,,,7.000 ,,,7.260 ,7.254 ,7.173 ,7.214 ,13.000 ,15.000 ,13.000 ,15.000 ,14.000 ,14.000 ,,,,14.000 ,,14.000 ,,,,,,4.000 ,4.200 ,,,,,3.500 ,,,,,,,,3.900 ,3.900 ,,,184.272 ,227.000 ,,,,227.000 ,,184.272 ,227.000 ,0.227 ,205.636 ,0.206 ,0.8020,,,,,,,3429.2830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
