abrevParker2017,abrevGaramszegi2019,breed,synonym,w1AKC,w2AKC,w1Bell,w2Bell,w1malesAKC,w2malesAKC,w1malesBell,w2malesBell,w1femalesAKC,w2femalesAKC,w1femalesBell,w2femalesBell,wAKC,wAKCmales,wAKCfemales,wBell2012,wBellmales,wBellfemales,wFan2016,wFan2016males,wFan2016females,wSpeakman2003,wKraus2013,wGerstner2010,wHawthorne2004,wCareau2010,weightcompendia,weightpapers,weight,l1AKC,l2AKC,l1Bell,l2Bell,lAKC,lBell,lLeroy2015b,lONeill2013,lMichell1999,lcompendia,lpapers,lifespan,lsClark2017,lsBell2012,lsLeroy2015,lsOkkens1993,lsSchrack2017,lsGroppetti2015,lsBorge2011,lsNielen2000,lsOgrak2009,lsWildt1982,lsYilmaz2007,lsGroppetti2017,lsMila2015,lsThomassen2006,lsGoleman2015,lsGubbels2008,lswebsite1,lswebsite2,lscompendia,lspapers,littersize,malesperlitterGubbels2008,femalesperlitterGubbels2008,bwClark2017,bwFan2016,bwYlmaz2007,bwGroppetti2017,bwGroppetti2015,bwFan2016males,bwFan2016females,bwcompendia,bwpapers,bwpaperskg,bw,bwkg,bwkgxls,grHawthorne2004,grPosadas2014,expgr,T99Hawthorne2004,T99Posadas2014,T99,growth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BORZ,BORZ,Borzoi,Borzoi,,,,,34.019 ,47.627 ,34.000 ,48.000 ,27.216 ,38.555 ,34.000 ,41.000 ,36.854 ,40.823 ,32.885 ,39.250 ,41.000 ,37.500 ,41.000 ,41.000 ,41.000 ,,,,,,38.052 ,41.000 ,39.526 ,9.000 ,14.000 ,9.000 ,13.000 ,11.500 ,11.000 ,,,,11.250 ,,11.250 ,,,,,,,7.600 ,,,,,11.000 ,,,,,,,,9.300 ,9.300 ,,,,375.500 ,,446.000 ,,359.000 ,392.000 ,,410.750 ,0.411 ,410.750 ,0.411 ,3.8200,,,,,,,8872.4528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOST,BOST,Boston Terrier,Boston Terrier,5.443 ,11.340 ,,11.000 ,,,,,,,,,8.391 ,,,11.000 ,,,,,,,8.000 ,,,7.940 ,9.261 ,7.970 ,8.615 ,11.000 ,13.000 ,13.000 ,14.000 ,12.000 ,13.500 ,,,,12.750 ,,12.750 ,,,,,,2.000 ,4.100 ,,,,,,,,,,,,,3.050 ,3.050 ,,,,,,200.000 ,,,,,200.000 ,0.200 ,200.000 ,0.200 ,0.6100,,,,,,,4095.7260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOUV,BOUV,Bouvier des Flandres,Bouvier des Flandres,31.751 ,49.895 ,27.000 ,40.000 ,,,,,,,,,40.823 ,,,33.500 ,,,42.000 ,42.000 ,,,38.000 ,39.350 ,,,37.162 ,39.783 ,38.472 ,10.000 ,12.000 ,10.000 ,11.000 ,11.000 ,10.500 ,,,,10.750 ,,10.750 ,8.000 ,,,6.100 ,,,6.900 ,6.250 ,,,,8.000 ,,,,,,,8.000 ,6.813 ,7.050 ,,,453.592 ,326.000 ,,463.500 ,,326.000 ,,453.592 ,394.750 ,0.395 ,414.364 ,0.414 ,2.9213,,,,,,,9752.0335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOX,BOX,Boxer,Boxer,,,,,29.483 ,36.287 ,29.500 ,36.500 ,22.680 ,29.483 ,25.000 ,29.500 ,29.483 ,32.885 ,26.082 ,30.125 ,33.000 ,27.250 ,29.500 ,29.500 ,,,29.000 ,,,28.120 ,29.804 ,28.873 ,29.339 ,10.000 ,12.000 ,11.000 ,13.000 ,11.000 ,12.000 ,,10.000 ,10.400 ,11.500 ,10.200 ,10.633 ,,,,6.800 ,,,6.600 ,6.470 ,,,,8.000 ,8.000 ,5.300 ,,4.900 ,,,,6.581 ,6.581 ,2.490 ,2.410 ,,482.000 ,,449.500 ,,482.000 ,,,465.750 ,0.466 ,465.750 ,0.466 ,3.0653,,,,,,,6230.3231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BPIC,BPIC,Picardy Sheepdog,Berger Picard,22.680 ,31.751 ,,,,,,,,,,,27.216 ,,,,,,,,,,,,,,27.216 ,,27.216 ,12.000 ,13.000 ,,,12.500 ,,,,,12.500 ,,12.500 ,,,,,,,,,,,,,,,,,6.000 ,5.500 ,,,5.750 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIA,BRIA,Briard,Berger de Brie,24.948 ,45.359 ,,,,,27.500 ,45.500 ,,,22.500 ,36.500 ,35.153 ,,,33.000 ,36.500 ,29.500 ,34.050 ,34.050 ,34.050 ,,,,,,33.718 ,34.050 ,33.884 ,12.000 ,12.000 ,10.000 ,12.000 ,12.000 ,11.000 ,,,,11.500 ,,11.500 ,,,,,,,7.300 ,,,,,,,,,,,,,7.300 ,7.300 ,,,,368.500 ,,,,348.000 ,389.000 ,,368.500 ,0.369 ,368.500 ,0.369 ,2.6901,,,,,,,9439.5875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRIT,BRIT,Brittany Spaniel,Brittany Spaniel,13.608 ,18.144 ,13.000 ,18.000 ,,,,,,,,,15.876 ,,,15.500 ,,,17.000 ,17.000 ,,,17.000 ,18.710 ,,15.880 ,15.688 ,17.148 ,16.418 ,12.000 ,14.000 ,13.000 ,14.000 ,13.000 ,13.500 ,12.580 ,,,13.250 ,12.580 ,12.915 ,,,5.320 ,,,6.500 ,6.400 ,,,,,7.000 ,,,,,,,,6.305 ,6.305 ,,,,283.000 ,,255.000 ,,283.000 ,,,269.000 ,0.269 ,269.000 ,0.269 ,1.6960,,,,,,,5801.7546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRTR,BRTR,Russian Black Terrier,Russian Black Terrier,36.287 ,58.967 ,32.000 ,54.000 ,,,,,,,,,47.627 ,,,43.000 ,,,51.250 ,55.000 ,47.500 ,,,,,,45.314 ,51.250 ,48.282 ,10.000 ,12.000 ,10.000 ,14.000 ,11.000 ,12.000 ,,,,11.500 ,,11.500 ,,,,,,,,,,,,8.000 ,,,,,,,,8.000 ,8.000 ,,,,623.000 ,,475.000 ,,667.000 ,579.000 ,,549.000 ,0.549 ,549.000 ,0.549 ,4.3920,,,,,,,8575.2568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRUS,BRUS,Griffon Bruxellois,Griffon Bruxellois,3.629 ,4.536 ,3.500 ,4.500 ,,,,,,,,,4.082 ,,,4.000 ,,,4.080 ,4.080 ,,,,,,,4.041 ,4.080 ,4.061 ,12.000 ,15.000 ,13.000 ,14.000 ,13.500 ,13.500 ,,,,13.500 ,,13.500 ,,,,,,,4.000 ,,,,,7.000 ,,,,,,,,5.500 ,5.500 ,,,198.447 ,170.000 ,,120.000 ,,170.000 ,,198.447 ,145.000 ,0.145 ,162.816 ,0.163 ,0.8955,,,,,,,2407.3338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSJI,BSJI,Basenji,Basenji,,,,,,,11.000 ,,,,10.000 ,,,,,10.500 ,11.000 ,10.000 ,,,,,,,,,10.500 ,,10.500 ,13.000 ,14.000 ,10.000 ,12.000 ,13.500 ,11.000 ,,,,12.250 ,,12.250 ,,,,,,,4.800 ,,,,,,,,,,,,,4.800 ,4.800 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
